,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA,COSTO_TOTAL_CALCULADO
850,0.0,1931.62,8377.26,3863.23
851,0.0,277.5,14000.0,277.5
852,333.0,333.0,9900.0,3995.98
853,257.6,257.6,8100.0,2575.95
854,1225.86,1225.86,3521.6,1225.86
855,92.33,92.33,2070.0,923.31
856,0.0,282.91,4820.0,1131.63
857,0.0,223.92,2927.5,1119.59
858,0.0,249.92,3240.0,1249.59
859,567.27,567.27,1697.71,567.27
860,0.0,75.77,4106.5,378.86
861,0.0,193.86,4125.0,193.86
862,0.0,197.36,1369.18,197.36
863,55.23,55.23,1772.0,110.46
864,36.8,36.8,1390.0,73.59
865,80.09,80.09,1330.0,160.18
866,0.0,1721.28,18869.0,1721.28
867,179.31,179.31,600.0,179.31
868,0.0,514.93,12500.0,5149.29
869,0.0,301.16,5472.0,1806.93
870,0.0,750.38,6924.0,4502.25
871,0.0,43.88,4176.0,263.28
872,0.0,215.26,5328.0,1291.57
873,0.0,128.74,5090.0,1287.37
874,122.67,122.67,2442.0,736.0
875,0.0,490.5,31024.0,7848.04
876,0.0,330.66,3192.0,991.99
877,144.4,144.4,2425.0,722.0
878,54.8,54.8,1550.0,274.0
879,0.0,244.61,8764.0,1712.29
880,82.15,82.15,2160.0,246.45
881,335.77,335.77,1215.5,335.77
882,74.45,74.45,1850.0,744.5
883,42.79,42.79,625.0,213.97
884,72.37,72.37,326.0,144.73
885,97.49,97.49,714.0,292.48
886,144.2,144.2,1488.0,432.6
887,396.78,396.78,3904.0,1587.1
888,291.48,291.48,44259.0,8744.54
889,0.0,374.14,3904.0,1496.57
890,290.21,290.21,29506.0,5804.18
891,844.23,844.23,12213.0,3376.92
892,62.82,62.82,310.0,125.64
893,0.0,227.21,4028.0,908.84
894,0.0,156.55,853.0,156.55
895,338.22,338.22,9438.8,1352.89
896,0.0,301.83,1139.86,301.83
897,82.15,82.15,2880.0,328.6
898,1135.53,1135.53,7392.6,3406.59
899,1261.99,1261.99,4137.0,2523.98
900,91.5,91.5,1653.6,366.02
901,0.0,181.44,785.0,181.44
902,0.0,1884.35,5909.84,1884.35
903,0.0,628.8,4471.8,1257.6
904,0.0,282.47,12360.0,3389.64
905,0.0,82.37,870.0,164.74
906,0.0,2121.33,5251.28,2121.33
907,430.03,430.03,38979.6,12900.92
908,73.01,73.01,1320.0,73.01
909,72.97,72.97,483.54,72.97
910,72.37,72.37,155.0,72.37
911,0.0,150.77,2450.0,753.85
912,32.38,32.38,1228.0,129.51
913,31.14,31.14,661.2,31.14
914,572.12,572.12,3392.5,1144.25
915,917.05,917.05,2290.12,917.05
916,469.69,469.69,2278.45,469.69
917,86.15,86.15,11025.0,1292.21
918,210.34,210.34,6348.0,841.34
919,438.86,438.86,4796.25,1316.59
920,0.0,1149.73,6654.0,3449.19
921,0.0,110.45,785.0,110.45
922,264.47,264.47,19243.56,5553.86
923,345.81,345.81,690.0,691.62
924,0.0,90.71,1575.0,181.42
